MiniEP 5
Nome:Giovana Morais
NUSP:11921908

## SEQUENCIAL
Run: Query 1
Threads	Run	Time(ms)
1	1	8
1	2	8
1	3	5
1	4	6
1	5	6
2	1	5
2	2	5
2	3	5
2	4	5
2	5	5
4	1	5
4	2	5
4	3	5
4	4	6
4	5	5
8	1	5
8	2	5
8	3	5
8	4	5
8	5	5

Run: Query 2
Threads	Run	Time(ms)
1	1	5
1	2	5
1	3	5
1	4	6
1	5	7
2	1	6
2	2	6
2	3	5
2	4	6
2	5	5
4	1	6
4	2	6
4	3	6
4	4	6
4	5	6
8	1	6
8	2	5
8	3	6
8	4	4
8	5	6

Run: Query 3
Threads	Run	Time(ms)
1	1	534
1	2	570
1	3	582
1	4	544
1	5	556
2	1	562
2	2	623
2	3	631
2	4	608
2	5	563
4	1	561
4	2	551
4	3	547
4	4	546
4	5	558
8	1	555
8	2	566
8	3	557
8	4	553
8	5	558

Run: Query 4
Threads	Run	Time(ms)
1	1	544
1	2	545
1	3	708
1	4	556
1	5	544
2	1	553
2	2	574
2	3	544
2	4	556
2	5	576
4	1	560
4	2	608
4	3	611
4	4	735
4	5	642
8	1	709
8	2	677
8	3	603
8	4	736
8	5	697

Run: Query 5
Threads	Run	Time(ms)
1	1	672
1	2	612
1	3	638
1	4	618
1	5	674
2	1	728
2	2	605
2	3	625
2	4	762
2	5	658
4	1	632
4	2	638
4	3	640
4	4	653
4	5	624
8	1	642
8	2	594
8	3	637
8	4	637
8	5	639

Run: Query 6
Threads	Run	Time(ms)
1	1	3019
1	2	3882
1	3	3607
1	4	3147
1	5	3113
2	1	2952
2	2	3174
2	3	2836
2	4	2971
2	5	3493
4	1	3383
4	2	3651
4	3	3205
4	4	3235
4	5	2951
8	1	3596
8	2	3508
8	3	3392
8	4	3248
8	5	3282


## THREAD
MiniEP 5
Nome:Giovana Morais
NUSP:11921908

Run: Query 1
Threads	Run	Time(ms)
1	1	9
1	2	12
1	3	12
1	4	12
1	5	11
2	1	6
2	2	6
2	3	5
2	4	3
2	5	3
4	1	2
4	2	2
4	3	2
4	4	2
4	5	2
8	1	2
8	2	2
8	3	2
8	4	2
8	5	2

Run: Query 2
Threads	Run	Time(ms)
1	1	5
1	2	6
1	3	5
1	4	6
1	5	5
2	1	4
2	2	3
2	3	3
2	4	4
2	5	3
4	1	2
4	2	3
4	3	4
4	4	4
4	5	2
8	1	2
8	2	2
8	3	2
8	4	2
8	5	2

Run: Query 3
Threads	Run	Time(ms)
1	1	521
1	2	545
1	3	529
1	4	518
1	5	536
2	1	305
2	2	304
2	3	311
2	4	406
2	5	414
4	1	394
4	2	231
4	3	215
4	4	210
4	5	214
8	1	258
8	2	255
8	3	258
8	4	259
8	5	330

Run: Query 4
Threads	Run	Time(ms)
1	1	613
1	2	529
1	3	580
1	4	559
1	5	547
2	1	326
2	2	341
2	3	349
2	4	343
2	5	334
4	1	221
4	2	201
4	3	207
4	4	209
4	5	209
8	1	260
8	2	275
8	3	262
8	4	274
8	5	256

Run: Query 5
Threads	Run	Time(ms)
1	1	523
1	2	587
1	3	565
1	4	516
1	5	535
2	1	292
2	2	309
2	3	296
2	4	304
2	5	387
4	1	338
4	2	212
4	3	194
4	4	210
4	5	193
8	1	256
8	2	253
8	3	250
8	4	251
8	5	252

Run: Query 6
Threads	Run	Time(ms)
1	1	2841
1	2	3248
1	3	3076
1	4	3141
1	5	3113
2	1	2083
2	2	2053
2	3	1853
2	4	1924
2	5	1952
4	1	1503
4	2	1300
4	3	1271
4	4	1316
4	5	1376
8	1	1388
8	2	1386
8	3	1378
8	4	1379
8	5	1361
